,name,task,n_embd,train_size,seed,trainer/global_step,val_loss/add_in_dist,val_loss/ali_in_dist,val_loss/car_in_dist,val_loss/mad_in_dist,val_loss/rev_in_dist,val_loss/add_ood_8digit,val_loss/ali_ood_8digit,val_loss/car_ood_8digit,val_loss/mad_ood_8digit,val_loss/rev_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_loss/ali_ood_10digit,val_loss/ali_ood_11digit,val_loss/car_ood_10digit,val_loss/car_ood_11digit,val_loss/mad_ood_10digit,val_loss/mad_ood_11digit,val_loss/rev_ood_10digit,val_loss/rev_ood_11digit,val_acc/add_in_dist,val_acc/ali_in_dist,val_acc/car_in_dist,val_acc/mad_in_dist,val_acc/rev_in_dist,val_acc/add_ood_8digit,val_acc/ali_ood_8digit,val_acc/car_ood_8digit,val_acc/mad_ood_8digit,val_acc/rev_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit,val_acc/ali_ood_10digit,val_acc/ali_ood_11digit,val_acc/car_ood_10digit,val_acc/car_ood_11digit,val_acc/mad_ood_10digit,val_acc/mad_ood_11digit,val_acc/rev_ood_10digit,val_acc/rev_ood_11digit
tdec_896embd_mix_10000000_s1,tdec_896embd_mix_10000000_s1,mix,896,10000000,1,23999,4.802548937732354e-05,5.934202818025369e-07,1.5368632375611924e-06,3.5033613130508456e-06,1.829673692554934e-06,1.007371425628662,0.004888598341494799,0.14258654415607452,0.8236923813819885,0.00029243738390505314,3.767000675201416,5.559535503387451,1.6086350679397583,2.7905521392822266,2.093355894088745,3.032723903656006,3.849212408065796,5.632795333862305,1.6257957220077515,7.0945281982421875,1.0,1.0,1.0,1.0,1.0,0.23999999463558197,0.8899999856948853,0.5799999833106995,0.1899999976158142,1.0,0,0,0,0,0.0,0,0,0,0.0,0
tdec_1216embd_add_10000_s2,tdec_1216embd_add_10000_s2,add,1216,10000,2,30422,0.05029626935720444,,,,,3.412595272064209,,,,,6.7487688064575195,10.551949501037598,,,,,,,,,0.9200000166893005,,,,,0.0,,,,,0,0,,,,,,,,
tdec_768embd_mix_10000000_s1,tdec_768embd_mix_10000000_s1,mix,768,10000000,1,31999,1.0140544191017398e-06,5.995229201971597e-09,1.7176482458580722e-08,2.230347639908814e-08,4.979810341865232e-08,0.4839801490306854,0.8090836405754089,0.053607672452926636,0.002962162485346198,0.26312682032585144,4.024829864501953,4.846376895904541,1.3524342775344849,2.306925058364868,2.243567943572998,2.9961249828338623,4.210361003875732,5.187844753265381,8.477521896362305,11.581955909729004,1.0,1,1.0,1.0,1.0,0.3400000035762787,0.0,0.8199999928474426,0.9700000286102295,0.4000000059604645,0.0,0,0,0,0.0,0,0.0,0,0.0,0
tdec_448embd_mix_10000000_s2,tdec_448embd_mix_10000000_s2,mix,448,10000000,2,31999,5.5225550568138715e-06,8.349840818766552e-09,2.123760012295861e-08,5.691955351494471e-08,9.405318479593916e-08,0.6055670976638794,0.0822499543428421,0.19970962405204773,0.7875110507011414,1.1439210538810585e-06,3.321669578552246,4.079854965209961,1.5008447170257568,2.5734262466430664,2.427793025970459,3.6931183338165283,3.334582805633545,4.466516494750977,0.19218862056732178,7.607324600219727,1.0,1.0,1.0,1.0,1.0,0.1599999964237213,0.3199999928474426,0.6200000047683716,0.15000000596046448,1.0,0,0,0,0,0.05999999865889549,0.0,0,0,0.27000001072883606,0.0
tdec_640embd_add_1000000_s3,tdec_640embd_add_1000000_s3,add,640,1000000,3,31999,4.907317929792043e-08,,,,,0.3641064465045929,,,,,4.7235188484191895,5.6238532066345215,,,,,,,,,1.0,,,,,0.2800000011920929,,,,,0.0,0,,,,,,,,
tdec_448embd_add_10000000_s2,tdec_448embd_add_10000000_s2,add,448,10000000,2,31999,2.1839574401383288e-05,,,,,0.7471650838851929,,,,,4.017290115356445,5.581396579742432,,,,,,,,,1.0,,,,,0.0,,,,,0.0,0,,,,,,,,
tdec_640embd_add_1000000_s2,tdec_640embd_add_1000000_s2,add,640,1000000,2,31999,0.0011439051013439894,,,,,0.030002843588590622,,,,,2.218228816986084,3.297332763671875,,,,,,,,,0.9900000095367432,,,,,0.8199999928474426,,,,,0,0,,,,,,,,
tdec_1536embd_mix_100000_s1,tdec_1536embd_mix_100000_s1,mix,1536,100000,1,31021,0.02110869437456131,4.564957023500682e-10,3.999832465240161e-09,1.1737835592384727e-08,3.6257862490174375e-08,0.17361560463905334,0.6916162967681885,0.397475928068161,0.38722744584083557,0.020642612129449844,8.97491455078125,14.477869987487793,3.2627334594726562,5.395719051361084,4.961236476898193,9.088006019592285,8.58890151977539,12.6575927734375,1.3792469501495361,13.0978422164917,0.9900000095367432,1.0,1.0,1.0,1.0,0.5799999833106995,0.0,0.4300000071525574,0.4300000071525574,0.949999988079071,0,0,0,0,0.0,0.0,0,0,0.05999999865889549,0.0
tdec_448embd_mix_1000000_s2,tdec_448embd_mix_1000000_s2,mix,448,1000000,2,31999,2.70065970653377e-06,2.0662940247717643e-09,5.821299442487771e-09,1.6533424229692173e-07,1.6179636759261484e-06,0.10233616828918457,0.00037193603930063546,0.006152335554361343,0.02533464878797531,1.2791419976565521e-05,4.408053398132324,5.039048671722412,1.7463679313659668,3.280388593673706,2.5828545093536377,3.8020598888397217,4.964206695556641,5.748856067657471,0.46767425537109375,9.475432395935059,1.0,1,1.0,1.0,1.0,0.6600000262260437,0.9900000095367432,0.9599999785423279,0.9100000262260437,1.0,0,0,0,0,0.0,0.0,0.0,0,0.25999999046325684,0.0
tdec_1344embd_add_10000_s1,tdec_1344embd_add_10000_s1,add,1344,10000,1,31659,0.12844495475292206,,,,,5.608925819396973,,,,,6.3025970458984375,11.31954574584961,,,,,,,,,0.8799999952316284,,,,,0.0,,,,,0,0,,,,,,,,
tdec_1088embd_mix_1000000_s1,tdec_1088embd_mix_1000000_s1,mix,1088,1000000,1,31999,4.523164898273535e-05,2.4851471991382823e-08,1.7936217844294333e-08,3.3575443580957653e-07,1.4857516816846328e-07,0.16056686639785767,0.006247165612876415,0.16240017116069794,0.15600554645061493,0.027259884402155876,3.746704339981079,4.449692726135254,1.508133053779602,2.443554639816284,2.6724307537078857,4.640274524688721,3.492410659790039,4.4554033279418945,4.724210739135742,11.737222671508789,1.0,1.0,1.0,1.0,1.0,0.5199999809265137,0.9100000262260437,0.699999988079071,0.550000011920929,0.8799999952316284,0,0,0,0,0.0,0.0,0.0,0,0.0,0
tdec_768embd_add_10000000_s1,tdec_768embd_add_10000000_s1,add,768,10000000,1,31999,0.0003060105082113296,,,,,1.3977056741714478,,,,,3.846096992492676,6.008037090301514,,,,,,,,,0.9900000095367432,,,,,0.019999999552965164,,,,,0,0,,,,,,,,
tdec_448embd_add_1000000_s2,tdec_448embd_add_1000000_s2,add,448,1000000,2,31999,0.3630066215991974,,,,,0.7377207279205322,,,,,1.0036295652389526,1.3598655462265015,,,,,,,,,0.4000000059604645,,,,,0,,,,,0,0,,,,,,,,
tdec_640embd_mix_100000_s3,tdec_640embd_mix_100000_s3,mix,640,100000,3,31999,0.00675100926309824,4.555969379538283e-09,2.528541465096623e-08,3.029221034012153e-07,1.6881272131286096e-06,0.7214736938476562,0.90503990650177,0.7016428112983704,0.5477299690246582,9.232471711584367e-06,4.562310218811035,6.010528564453125,2.1840009689331055,3.1688976287841797,2.4222280979156494,4.018895149230957,4.557438850402832,6.018662929534912,1.6233978271484375,9.388835906982422,0.9900000095367432,1.0,1.0,1.0,1.0,0.05999999865889549,0.0,0.23000000417232513,0.36000001430511475,1.0,0,0,0,0,0.019999999552965164,0,0.0,0,0.0,0
tdec_1536embd_add_100000_s1,tdec_1536embd_add_100000_s1,add,1536,100000,1,31066,7.314078175113536e-06,,,,,0.7265990376472473,,,,,5.655429840087891,10.103787422180176,,,,,,,,,1.0,,,,,0.15000000596046448,,,,,0.0,0,,,,,,,,
