,name,task,n_embd,train_size,seed,trainer/global_step,val_loss/add_in_dist,val_loss/ali_in_dist,val_loss/car_in_dist,val_loss/mad_in_dist,val_loss/rev_in_dist,val_loss/add_ood_8digit,val_loss/ali_ood_8digit,val_loss/car_ood_8digit,val_loss/mad_ood_8digit,val_loss/rev_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_loss/ali_ood_10digit,val_loss/ali_ood_11digit,val_loss/car_ood_10digit,val_loss/car_ood_11digit,val_loss/mad_ood_10digit,val_loss/mad_ood_11digit,val_loss/rev_ood_10digit,val_loss/rev_ood_11digit,val_acc/add_in_dist,val_acc/ali_in_dist,val_acc/car_in_dist,val_acc/mad_in_dist,val_acc/rev_in_dist,val_acc/add_ood_8digit,val_acc/ali_ood_8digit,val_acc/car_ood_8digit,val_acc/mad_ood_8digit,val_acc/rev_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit,val_acc/ali_ood_10digit,val_acc/ali_ood_11digit,val_acc/car_ood_10digit,val_acc/car_ood_11digit,val_acc/mad_ood_10digit,val_acc/mad_ood_11digit,val_acc/rev_ood_10digit,val_acc/rev_ood_11digit
0,tdec_1216embd_add_10000_s2,add,1216,10000,2,30422,0.0502962693572044,,,,,3.412595272064209,,,,,6.7487688064575195,10.551949501037598,,,,,,,,,0.9200000166893004,,,,,0.0,,,,,0.0,0.0,,,,,,,,
1,tdec_768embd_mix_10000000_s1,mix,768,10000000,1,31999,1.0140544191017398e-06,5.995229201971597e-09,1.7176482458580722e-08,2.2303476399088143e-08,4.9798103418652324e-08,0.4839801490306854,0.8090836405754089,0.0536076724529266,0.0029621624853461,0.2631268203258514,4.024829864501953,4.846376895904541,1.3524342775344849,2.306925058364868,2.243567943572998,2.9961249828338623,4.210361003875732,5.187844753265381,8.477521896362305,11.581955909729004,1.0,1.0,1.0,1.0,1.0,0.3400000035762787,0.0,0.8199999928474426,0.9700000286102296,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,tdec_448embd_mix_10000000_s2,mix,448,10000000,2,31999,5.5225550568138715e-06,8.349840818766552e-09,2.123760012295861e-08,5.6919553514944716e-08,9.405318479593917e-08,0.6055670976638794,0.0822499543428421,0.1997096240520477,0.7875110507011414,1.1439210538810585e-06,3.321669578552246,4.079854965209961,1.5008447170257568,2.5734262466430664,2.427793025970459,3.693118333816528,3.334582805633545,4.466516494750977,0.1921886205673217,7.607324600219727,1.0,1.0,1.0,1.0,1.0,0.1599999964237213,0.3199999928474426,0.6200000047683716,0.1500000059604644,1.0,0.0,0.0,0.0,0.0,0.0599999986588954,0.0,0.0,0.0,0.270000010728836,0.0
3,tdec_640embd_add_1000000_s3,add,640,1000000,3,31999,4.907317929792043e-08,,,,,0.3641064465045929,,,,,4.7235188484191895,5.6238532066345215,,,,,,,,,1.0,,,,,0.2800000011920929,,,,,0.0,0.0,,,,,,,,
4,tdec_448embd_add_10000000_s2,add,448,10000000,2,31999,2.1839574401383288e-05,,,,,0.7471650838851929,,,,,4.017290115356445,5.581396579742432,,,,,,,,,1.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,
5,tdec_640embd_add_1000000_s2,add,640,1000000,2,31999,0.0011439051013439,,,,,0.0300028435885906,,,,,2.218228816986084,3.297332763671875,,,,,,,,,0.9900000095367432,,,,,0.8199999928474426,,,,,0.0,0.0,,,,,,,,
6,tdec_1536embd_mix_100000_s1,mix,1536,100000,1,31021,0.0211086943745613,4.5649570235006815e-10,3.999832465240161e-09,1.1737835592384728e-08,3.6257862490174375e-08,0.1736156046390533,0.6916162967681885,0.397475928068161,0.3872274458408355,0.0206426121294498,8.97491455078125,14.477869987487791,3.262733459472656,5.395719051361084,4.961236476898193,9.088006019592283,8.58890151977539,12.6575927734375,1.379246950149536,13.0978422164917,0.9900000095367432,1.0,1.0,1.0,1.0,0.5799999833106995,0.0,0.4300000071525574,0.4300000071525574,0.949999988079071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0599999986588954,0.0
7,tdec_448embd_mix_1000000_s2,mix,448,1000000,2,31999,2.70065970653377e-06,2.0662940247717643e-09,5.8212994424877715e-09,1.6533424229692173e-07,1.6179636759261484e-06,0.1023361682891845,0.0003719360393006,0.0061523355543613,0.0253346487879753,1.279141997656552e-05,4.408053398132324,5.039048671722412,1.7463679313659668,3.280388593673706,2.5828545093536377,3.8020598888397217,4.964206695556641,5.748856067657471,0.4676742553710937,9.47543239593506,1.0,1.0,1.0,1.0,1.0,0.6600000262260437,0.9900000095367432,0.959999978542328,0.9100000262260436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2599999904632568,0.0
8,tdec_1344embd_add_10000_s1,add,1344,10000,1,31659,0.128444954752922,,,,,5.608925819396973,,,,,6.3025970458984375,11.31954574584961,,,,,,,,,0.8799999952316284,,,,,0.0,,,,,0.0,0.0,,,,,,,,
9,tdec_1088embd_mix_1000000_s1,mix,1088,1000000,1,31999,4.523164898273535e-05,2.4851471991382823e-08,1.7936217844294333e-08,3.3575443580957653e-07,1.485751681684633e-07,0.1605668663978576,0.0062471656128764,0.1624001711606979,0.1560055464506149,0.0272598844021558,3.746704339981079,4.449692726135254,1.508133053779602,2.443554639816284,2.6724307537078857,4.640274524688721,3.492410659790039,4.4554033279418945,4.724210739135742,11.737222671508787,1.0,1.0,1.0,1.0,1.0,0.5199999809265137,0.9100000262260436,0.699999988079071,0.550000011920929,0.8799999952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
