,trainer/global_step,val_loss/add_in_dist,val_loss/ali_in_dist,val_loss/car_in_dist,val_loss/mad_in_dist,val_loss/rev_in_dist,val_loss/add_ood_8digit,val_loss/ali_ood_8digit,val_loss/car_ood_8digit,val_loss/mad_ood_8digit,val_loss/rev_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_loss/ali_ood_10digit,val_loss/ali_ood_11digit,val_loss/car_ood_10digit,val_loss/car_ood_11digit,val_loss/mad_ood_10digit,val_loss/mad_ood_11digit,val_loss/rev_ood_10digit,val_loss/rev_ood_11digit,val_acc/add_in_dist,val_acc/ali_in_dist,val_acc/car_in_dist,val_acc/mad_in_dist,val_acc/rev_in_dist,val_acc/add_ood_8digit,val_acc/ali_ood_8digit,val_acc/car_ood_8digit,val_acc/mad_ood_8digit,val_acc/rev_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit,val_acc/ali_ood_10digit,val_acc/ali_ood_11digit,val_acc/car_ood_10digit,val_acc/car_ood_11digit,val_acc/mad_ood_10digit,val_acc/mad_ood_11digit,val_acc/rev_ood_10digit,val_acc/rev_ood_11digit
0,3999,0.02496444061398506,0.0003280717646703124,0.00195213477127254,0.005675611551851034,0.00572609668597579,0.11502960324287415,0.0037687651347368956,0.10610736906528473,0.05178498104214668,0.009975677356123924,1.3586775064468384,2.6301755905151367,1.0755658149719238,1.88230562210083,0.913910448551178,1.5536733865737915,1.8939296007156372,3.2112700939178467,0.05108315125107765,2.1342217922210693,0.8999999761581421,1,0.9900000095367432,0.9599999785423279,0.9599999785423279,0.5199999809265137,0.9300000071525574,0.6100000143051147,0.7699999809265137,0.9100000262260437,0,0,0,0,0.029999999329447746,0,0,0,0.7599999904632568,0
1,7999,0.004177143797278404,9.181410860037431e-06,1.169705228676321e-06,8.095964585663751e-05,0.004451151005923748,0.21548548340797424,0.5173779726028442,0.09799997508525848,0.1165609285235405,0.0190998837351799,2.167681932449341,3.242539167404175,1.9875026941299438,3.1720387935638428,1.6234869956970215,2.496866464614868,2.2449352741241455,3.333054542541504,0.33897459506988525,4.450290679931641,0.9800000190734863,1,1.0,0.9900000095367432,0.9900000095367432,0.4099999964237213,0.019999999552965164,0.7300000190734863,0.550000011920929,0.9100000262260437,0,0,0,0,0.0,0,0,0,0.2800000011920929,0
2,11999,0.0005444282433018088,1.1663633813441265e-05,0.00011794468446169049,0.00018938309221994132,8.537228859495372e-05,0.6155633926391602,0.37588226795196533,0.1736159324645996,0.3255140781402588,0.010467167012393475,2.164825201034546,3.2270138263702393,1.6319118738174438,3.2197775840759277,1.3057059049606323,2.0634233951568604,2.129452705383301,3.3229129314422607,0.6820972561836243,7.2620415687561035,0.9900000095367432,1,1.0,1.0,1.0,0.05000000074505806,0.0,0.5199999809265137,0.2199999988079071,0.949999988079071,0,0,0,0,0.0,0,0,0,0.019999999552965164,0
3,15999,0.00029732086113654077,2.260161181766307e-06,1.8471228031557985e-05,2.298687832080759e-05,9.241932275472209e-05,0.7473520040512085,0.1340356320142746,0.8776178956031799,1.0030494928359985,0.026423828676342964,2.488530158996582,3.7380142211914062,1.2154220342636108,2.237610101699829,1.2423653602600098,2.5988781452178955,2.3295676708221436,3.774836778640747,0.7549117803573608,6.315719127655029,0.9900000095367432,1,1.0,0.9900000095367432,1.0,0.07999999821186066,0.2800000011920929,0.019999999552965164,0.009999999776482582,0.9200000166893005,0,0,0,0,0.009999999776482582,0,0,0,0.07000000029802322,0
4,19999,0.00018597276357468218,2.7581972972257063e-06,3.7910008359176572e-06,1.5913619790808298e-05,0.00010725729953264818,0.5137748122215271,0.6883283853530884,0.3411603271961212,0.5675610899925232,0.03127158805727959,3.050133466720581,3.5901544094085693,1.543280839920044,2.5944137573242188,1.5428533554077148,2.163135290145874,3.220850944519043,3.9208366870880127,3.000519037246704,8.291827201843262,1.0,1,1.0,1.0,1.0,0.05000000074505806,0.0,0.2800000011920929,0.10999999940395355,0.8500000238418579,0,0,0,0,0.0,0,0,0,0.0,0
5,23999,2.599297476990614e-05,5.012168458051747e-07,9.328531973551435e-07,1.3639343706017826e-05,5.2316896471893415e-05,0.3664357364177704,0.75706946849823,0.10425365716218948,0.4666830897331238,0.04717980697751045,2.9067625999450684,3.823307752609253,1.8572306632995605,3.1911704540252686,1.4903151988983154,2.474337577819824,2.856618881225586,4.009113311767578,2.4987826347351074,9.774516105651855,1.0,1,1.0,1.0,1.0,0.1899999976158142,0.0,0.699999988079071,0.12999999523162842,0.75,0,0,0,0,0.0,0,0,0,0.0,0
6,27999,6.16600300418213e-05,1.6134399061229487e-07,9.592864671503776e-07,8.709811481821816e-06,3.828974968200782e-06,0.5231369733810425,0.5662124156951904,0.9652532339096069,0.5594540238380432,0.03114314377307892,3.3042519092559814,4.1922478675842285,1.4709550142288208,2.584646701812744,1.4575374126434326,2.323230266571045,3.1914069652557373,4.341736316680908,5.365731716156006,10.690080642700195,0.9900000095367432,1,1.0,1.0,1.0,0.019999999552965164,0.0,0.019999999552965164,0.07000000029802322,0.7900000214576721,0,0,0,0,0.05999999865889549,0,0,0,0.0,0
7,31999,4.4904404603585135e-06,1.5785262874601358e-08,2.508472562112729e-06,2.183339347539004e-06,6.7806536208081525e-06,0.5466998815536499,0.4046649634838104,0.575914204120636,0.5490071177482605,0.07000670582056046,3.153529405593872,4.079773902893066,1.4619970321655273,2.2321724891662598,1.5859742164611816,2.7231829166412354,2.7830440998077393,3.891040325164795,4.928947925567627,10.92922592163086,1.0,1,1.0,1.0,1.0,0.09000000357627869,0.009999999776482582,0.05999999865889549,0.10999999940395355,0.7200000286102295,0,0,0,0,0.009999999776482582,0,0,0,0.0,0
8,35999,4.326699581724824e-06,1.0104098890906243e-07,2.8679608021775493e-07,5.730316274821234e-07,6.936680165381404e-06,0.9735068678855896,0.8895370364189148,1.068598747253418,1.0743483304977417,0.0710105374455452,3.726408004760742,4.436083793640137,1.400050401687622,2.3292698860168457,1.835188388824463,2.716398000717163,3.644803047180176,4.237585544586182,4.853782653808594,10.057048797607422,1.0,1,1.0,1.0,1.0,0.009999999776482582,0.0,0.0,0.0,0.6899999976158142,0,0,0,0,0.0,0,0,0,0.0,0
9,39999,3.0070796128711663e-06,8.957246500074234e-09,7.251117040141253e-09,2.6309756151476904e-08,3.255188971706957e-07,0.3038397431373596,0.7611750960350037,0.6083654165267944,0.5512118339538574,0.212283656001091,3.677600145339966,3.9378206729888916,1.3346940279006958,2.3848814964294434,1.805108904838562,2.621983051300049,3.4838297367095947,3.8755295276641846,7.385210037231445,12.268904685974121,1.0,1,1.0,1.0,1.0,0.14000000059604645,0.0,0.2199999988079071,0.07000000029802322,0.5099999904632568,0,0,0,0,0.0,0,0,0,0.0,0
10,43999,1.8559539682883042e-07,5.3147406475773096e-09,6.249456507845252e-10,5.775671141350358e-08,8.13263696386457e-08,0.6728123426437378,0.8431113958358765,0.6805761456489563,0.651441216468811,0.06939590722322464,3.2610669136047363,3.9434762001037598,1.6000748872756958,2.6601004600524902,1.6606593132019043,2.9583945274353027,3.0278818607330322,3.7481353282928467,5.770083427429199,12.500679016113281,1.0,1,1.0,1.0,1.0,0.029999999329447746,0.0,0.11999999731779099,0.11999999731779099,0.8100000023841858,0,0,0,0,0.0,0,0,0,0.0,0
11,47999,3.564959456525685e-07,8.105753401821403e-09,6.852811651469892e-09,3.6511030998553906e-07,3.456467538853758e-07,0.5288161039352417,1.5665196180343628,0.29125210642814636,0.4869677722454071,0.1583745777606964,4.021854400634766,4.106514930725098,1.6505134105682373,2.5766098499298096,1.9702932834625244,2.7000017166137695,3.852287530899048,3.6450250148773193,8.068025588989258,13.086475372314453,1.0,1,1.0,1.0,1.0,0.029999999329447746,0.0,0.3700000047683716,0.10000000149011612,0.6299999952316284,0,0,0,0,0.0,0,0,0,0.0,0
