"Step","trans_dec_6layers_768embd_4head - test_acc_in_dist","trans_dec_6layers_768embd_4head - test_acc_in_dist__MIN","trans_dec_6layers_768embd_4head - test_acc_in_dist__MAX","trans_dec_6layers_768embd_4head - test_acc_ood_18digit","trans_dec_6layers_768embd_4head - test_acc_ood_18digit__MIN","trans_dec_6layers_768embd_4head - test_acc_ood_18digit__MAX","trans_dec_6layers_768embd_4head - test_acc_ood_20digit","trans_dec_6layers_768embd_4head - test_acc_ood_20digit__MIN","trans_dec_6layers_768embd_4head - test_acc_ood_20digit__MAX"
"801","0.0010000000474974513","0.0010000000474974513","0.0010000000474974513","0","0","0","0","0","0"
"1603","0","0","0","0","0","0","0","0","0"
"2405","0.004999999888241291","0.004999999888241291","0.004999999888241291","0","0","0","0","0","0"
"3207","0.10899999737739563","0.10899999737739563","0.10899999737739563","0","0","0","0","0","0"
"4009","0.20999999344348907","0.20999999344348907","0.20999999344348907","0","0","0","0","0","0"
"4811","0.2370000034570694","0.2370000034570694","0.2370000034570694","0","0","0","0","0","0"
"5613","0.34700000286102295","0.34700000286102295","0.34700000286102295","0","0","0","0","0","0"
"6415","0.5479999780654907","0.5479999780654907","0.5479999780654907","0","0","0","0","0","0"
"7217","0.9269999861717224","0.9269999861717224","0.9269999861717224","0","0","0","0","0","0"
"8019","0.9879999756813049","0.9879999756813049","0.9879999756813049","0","0","0","0","0","0"
"8821","0.9919999837875366","0.9919999837875366","0.9919999837875366","0","0","0","0","0","0"
"9623","0.9929999709129333","0.9929999709129333","0.9929999709129333","0","0","0","0","0","0"
"10425","0.9950000047683716","0.9950000047683716","0.9950000047683716","0","0","0","0","0","0"
"11227","0.996999979019165","0.996999979019165","0.996999979019165","0","0","0","0","0","0"
"12029","0.996999979019165","0.996999979019165","0.996999979019165","0","0","0","0","0","0"
"12831","0.996999979019165","0.996999979019165","0.996999979019165","0","0","0","0","0","0"
"13633","0.9990000128746033","0.9990000128746033","0.9990000128746033","0","0","0","0","0","0"
"14435","1","1","1","0","0","0","0","0","0"
"15237","0.9990000128746033","0.9990000128746033","0.9990000128746033","0","0","0","0","0","0"
"16039","1","1","1","0","0","0","0","0","0"
"16841","0.9990000128746033","0.9990000128746033","0.9990000128746033","0","0","0","0","0","0"
