"Step","universal_transformer_3_steps - test_acc_1digit","universal_transformer_3_steps - test_acc_1digit__MIN","universal_transformer_3_steps - test_acc_1digit__MAX","universal_transformer_3_steps - test_acc_2digit","universal_transformer_3_steps - test_acc_2digit__MIN","universal_transformer_3_steps - test_acc_2digit__MAX","universal_transformer_3_steps - test_acc_3digit","universal_transformer_3_steps - test_acc_3digit__MIN","universal_transformer_3_steps - test_acc_3digit__MAX","universal_transformer_3_steps - test_acc_4digit","universal_transformer_3_steps - test_acc_4digit__MIN","universal_transformer_3_steps - test_acc_4digit__MAX"
"40","0","0","0","0","0","0","0","0","0","0","0","0"
"140","0.019999999552965164","0.019999999552965164","0.019999999552965164","0","0","0","0","0","0","0","0","0"
"240","0.029999999329447746","0.029999999329447746","0.029999999329447746","0","0","0","0","0","0","0","0","0"
"340","0.029999999329447746","0.029999999329447746","0.029999999329447746","0","0","0","0","0","0","0","0","0"
"440","0.03999999910593033","0.03999999910593033","0.03999999910593033","0","0","0","0","0","0","0","0","0"
"540","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0"
"640","0","0","0","0","0","0","0.019999999552965164","0.019999999552965164","0.019999999552965164","0","0","0"
"740","0.029999999329447746","0.029999999329447746","0.029999999329447746","0","0","0","0.029999999329447746","0.029999999329447746","0.029999999329447746","0","0","0"
"840","0.03999999910593033","0.03999999910593033","0.03999999910593033","0","0","0","0.15000000596046448","0.15000000596046448","0.15000000596046448","0","0","0"
"940","0.09000000357627869","0.09000000357627869","0.09000000357627869","0","0","0","0.5799999833106995","0.5799999833106995","0.5799999833106995","0","0","0"
"1040","0.46000000834465027","0.46000000834465027","0.46000000834465027","0","0","0","0.7599999904632568","0.7599999904632568","0.7599999904632568","0","0","0"
"1140","0.5","0.5","0.5","0","0","0","0.8999999761581421","0.8999999761581421","0.8999999761581421","0","0","0"
"1240","0.5600000023841858","0.5600000023841858","0.5600000023841858","0","0","0","0.9800000190734863","0.9800000190734863","0.9800000190734863","0","0","0"
"1340","0.8700000047683716","0.8700000047683716","0.8700000047683716","0","0","0","0.9599999785423279","0.9599999785423279","0.9599999785423279","0","0","0"
"1440","0.8100000023841858","0.8100000023841858","0.8100000023841858","0","0","0","1","1","1","0","0","0"
