"Step","nanogpt - test_acc_1digit","nanogpt - test_acc_1digit__MIN","nanogpt - test_acc_1digit__MAX","nanogpt - test_acc_3digit","nanogpt - test_acc_3digit__MIN","nanogpt - test_acc_3digit__MAX","nanogpt - test_acc_5digit","nanogpt - test_acc_5digit__MIN","nanogpt - test_acc_5digit__MAX","nanogpt - test_acc_2digit","nanogpt - test_acc_2digit__MIN","nanogpt - test_acc_2digit__MAX","nanogpt - test_acc_4digit","nanogpt - test_acc_4digit__MIN","nanogpt - test_acc_4digit__MAX","nanogpt - test_acc_6digit","nanogpt - test_acc_6digit__MIN","nanogpt - test_acc_6digit__MAX","nanogpt - test_acc_7digit","nanogpt - test_acc_7digit__MIN","nanogpt - test_acc_7digit__MAX","nanogpt - test_acc_8digit","nanogpt - test_acc_8digit__MIN","nanogpt - test_acc_8digit__MAX"
"40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"240","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"340","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0","0","0","0","0","0","0","0","0","0"
"440","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0","0","0","0","0","0","0","0","0","0"
"540","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"640","0.019999999552965164","0.019999999552965164","0.019999999552965164","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"740","0","0","0","0","0","0","0","0","0","0.029999999329447746","0.029999999329447746","0.029999999329447746","0","0","0","0","0","0","0","0","0","0","0","0"
"840","0.019999999552965164","0.019999999552965164","0.019999999552965164","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0","0.019999999552965164","0.019999999552965164","0.019999999552965164","0","0","0","0","0","0","0","0","0","0","0","0"
"940","0.15000000596046448","0.15000000596046448","0.15000000596046448","0","0","0","0","0","0","0.03999999910593033","0.03999999910593033","0.03999999910593033","0","0","0","0","0","0","0","0","0","0","0","0"
"1040","0.15000000596046448","0.15000000596046448","0.15000000596046448","0.07000000029802322","0.07000000029802322","0.07000000029802322","0","0","0","0.28999999165534973","0.28999999165534973","0.28999999165534973","0","0","0","0","0","0","0","0","0","0","0","0"
"1140","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.09000000357627869","0.09000000357627869","0.09000000357627869","0","0","0","0.2199999988079071","0.2199999988079071","0.2199999988079071","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0","0","0","0","0","0","0"
"1240","0.6100000143051147","0.6100000143051147","0.6100000143051147","0.23000000417232513","0.23000000417232513","0.23000000417232513","0.03999999910593033","0.03999999910593033","0.03999999910593033","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.07000000029802322","0.07000000029802322","0.07000000029802322","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0","0","0","0"
